"chl","LMA","N","S"
292.4333333,51.0796165830569,1.68,0.11
512.7,55.8067360949586,3.16,0.34
263.6111111,50.5290690762097,1.66,0.14
419.2444444,61.2165576212995,2.99,0.17
422.3,60.5656897973395,3.48,0.36
277.0888889,56.0129206088804,1.59,0.11
242.9333333,47.142258511003,2.01,0.15
416.4333333,61.7879518715368,2.83,0.17
298.1555556,67.8894620599182,2.52,0.13
484.3,52.6665845547481,2.81,0.23
503.5,58.6607317182079,2.4,0.27
370.6444444,43.1385264645636,2.54,0.19
391.5888889,55.7926647546994,2.31,0.15
587,57.5405284731617,3.03,0.4
281.8888889,48.556171096222,1.69,0.12
197.6333333,52.2542207358799,1.05,0.09
454.7,56.2702408246583,3.19,0.37
201.6222222,56.8164273583449,1.37,0.17
426.3,49.7112195566215,2.75,0.21
352.6666667,49.39792055055,2.31,0.13
315.8111111,53.4313701021367,1.87,0.17
528.3,55.3987239885679,3.66,0.44
376.2666667,65.3555194093364,3.04,0.18
462.8777778,78.6253444664771,2.59,0.15
312.6888889,49.6750745611227,2.14,0.15
582.3,57.0697628652957,3.35,0.41
391.7666667,55.7137614063977,2.77,0.14
490.0111111,63.8203836294528,2.53,0.15
211.3111111,48.5721639544519,1.58,0.16
492.2,58.4739607324191,3.11,0.2
258.9777778,65.0022159846358,1.6,0.13
477.1,62.6924533289514,2.36,0.17
263.3,52.3239458631576,1.86,0.14
513.9666667,57.5518158752366,3.54,0.22
589.0666667,62.265284044868,3.07,0.16
290.0222222,57.8263613948186,2.02,0.2
260.1222222,65.9955332203009,1.77,0.11
324.6777778,64.4720748074953,1.79,0.14
339.1333333,61.0020453026895,2.37,0.14
337.1333333,64.2938826000056,2.18,0.18
204.6888889,58.590734474631,1.36,0.11
383.0444444,51.6919187650118,2.93,0.16
524.2,52.0782004811809,2.72,0.23
556.6666667,70.771973234359,3.93,0.26
472,57.6318951373946,2.57,0.16
435.7,60.8128584280724,3.1,0.22
227.2333333,58.7633560369929,1.23,0.1
375.0555556,53.107213746228,1.43,0.18
389.8555556,64.3597958774561,2.37,0.17
381.5,48.2264506198687,1.99,0.26
239.8888889,58.4622112362199,1.54,0.11
544.4444444,62.9031398262167,3.14,0.19
608.2,52.286729876203,4.15,0.4
475.5222222,62.4231007180742,2.38,0.16
256.9444444,59.3873934837755,2,0.14
339.4555556,54.3450397264362,1.97,0.11
326,44.1372246907037,2.5,0.14
501,59.4473855461948,3.24,0.29
315.0111111,55.2884749216925,2.1,0.14
548.9,57.0180701857867,3.14,0.24
430.7,56.2288297180488,3.11,0.17
271.2444444,50.2261144864964,2.12,0.16
434.9444444,48.1726468991186,3,0.21
282.8333333,55.7460755413551,1.77,0.15
183.1777778,64.4981517674637,1.79,0.14
353,51.852728685081,2.29,0.18
433.4,54.9468629127607,3.18,0.22
